;;;Total;Nivel educativo de la madre;;;;;;;;;;;;;;;;
;;;;Preescolar;Básica primaria;Básica secundaria;Media académica o clásica;Media técnica;Normalista;Técnica profesional;Tecnológica;Profesional;Especialización;Maestría;Doctorado;Ninguno;Sin información;;;
Total Nacional;;Total;611,669;1,766;73,833;136,977;210,816;16,401;533;49,009;26,425;63,356;6,588;2,334;106;6,679;16,846;;;
;;De 10-14 Años;4,726;33;1,926;2,419;68;5;0;0;0;0;0;0;0;91;184;;;
;;De 15-19 Años;106,695;281;18,683;45,261;34,201;1,856;35;1,083;484;296;0;0;0;994;3,521;;;
;;De 20-24 Años;174,078;328;17,578;41,899;75,086;5,401;148;13,268;7,008;7,092;66;1;0;1,357;4,846;;;
;;De 25-29 Años;152,946;330;13,496;25,518;54,022;4,850;162;17,434;9,694;21,010;1,074;254;5;1,341;3,756;;;
;;De 30-34 Años;102,870;362;11,148;13,448;29,700;2,708;115;11,165;6,152;20,803;2,698;935;25;1,238;2,373;;;
;;De 35-39 Años;54,424;301;7,775;6,526;14,098;1,259;58;4,947;2,477;11,429;2,172;894;58;1,078;1,352;;;
;;De 40-44 Años;14,533;113;2,951;1,779;3,413;300;13;1,068;578;2,564;545;237;12;497;463;;;
;;De 45-49 Años;958;15;262;109;186;20;1;42;29;133;27;13;4;72;45;;;
;;De 50-54 Años;132;2;14;18;41;2;1;2;3;29;6;0;2;7;5;;;
;;Sin información;307;1;0;0;1;0;0;0;0;0;0;0;0;4;301;;;
 Antioquia;Total Dpto;Total;70,029;219;7,747;14,745;25,335;1,346;34;6,980;3,118;7,730;513;210;6;556;1,490;;;
;;De 10-14 Años;662;5;262;355;7;0;0;0;0;0;0;0;0;12;21;;;
;;De 15-19 Años;12,038;56;2,065;5,349;3,800;141;1;124;44;23;0;0;0;80;355;;;
;;De 20-24 Años;20,176;46;1,831;4,419;9,348;463;11;2,016;773;726;3;0;0;91;449;;;
;;De 25-29 Años;17,378;35;1,339;2,524;6,538;414;10;2,495;1,163;2,338;62;20;0;112;328;;;
;;De 30-34 Años;11,963;38;1,152;1,289;3,564;207;8;1,573;783;2,741;222;86;3;102;195;;;
;;De 35-39 Años;6,112;29;759;626;1,656;102;2;626;287;1,565;174;87;2;98;99;;;
;;De 40-44 Años;1,592;10;316;166;388;17;2;143;63;324;50;16;1;55;41;;;
;;De 45-49 Años;93;0;23;14;26;2;0;1;5;12;1;1;0;6;2;;;
;;De 50-54 Años;15;0;0;3;8;0;0;2;0;1;1;0;0;0;0;;;
;;Sin información;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;Medellín;Total;23,014;28;1,398;3,321;8,950;457;5;3,243;1,255;3,706;243;115;5;60;228;;;
;;De 10-14 Años;116;0;38;74;3;0;0;0;0;0;0;0;0;1;0;;;
;;De 15-19 Años;2,869;7;358;1,147;1,165;53;0;60;21;11;0;0;0;9;38;;;
;;De 20-24 Años;6,537;6;358;1,021;3,340;159;3;930;308;331;1;0;0;12;68;;;
;;De 25-29 Años;6,153;0;267;547;2,374;123;1;1,171;479;1,079;32;10;0;13;57;;;
;;De 30-34 Años;4,444;8;188;323;1,305;77;1;717;316;1,310;106;45;3;10;35;;;
;;De 35-39 Años;2,323;5;131;151;612;39;0;301;111;800;84;50;2;12;25;;;S
;;De 40-44 Años;548;2;56;55;142;5;0;64;18;169;19;10;0;3;5;;;
;;De 45-49 Años;22;0;2;2;9;1;0;0;2;5;1;0;0;0;0;;;
;;De 50-54 Años;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;;;
;;Sin información;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
; Abejorral;Total;186;1;54;42;53;2;0;15;5;2;1;1;0;4;6;;;
;;De 10-14 Años;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
;;De 15-19 Años;37;0;11;14;9;0;0;0;1;0;0;0;0;1;1;;;
;;De 20-24 Años;60;1;17;15;14;2;0;4;2;0;0;0;0;1;4;;;
;;De 25-29 Años;49;0;15;5;21;0;0;5;1;0;0;0;0;1;1;;;
;;De 30-34 Años;27;0;6;5;7;0;0;5;0;2;0;1;0;1;0;;;
;;De 35-39 Años;9;0;4;2;2;0;0;0;0;0;1;0;0;0;0;;;
;;De 40-44 Años;3;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;;
;;De 45-49 Años;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;;De 50-54 Años;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;;Sin información;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
